"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Abs","7 Mar 2026, 10:19","7 Mar 2026, 10:35","","Plank",,"",0,"normal",,,,70,
"Abs","7 Mar 2026, 10:19","7 Mar 2026, 10:35","","Side Plank",,"",0,"normal",,,,70,
"Abs","7 Mar 2026, 10:19","7 Mar 2026, 10:35","","Side Plank",,"",1,"normal",,,,70,
"Abs","7 Mar 2026, 10:19","7 Mar 2026, 10:35","","Reverse Crunch",,"",0,"normal",,30,,,
"Abs","7 Mar 2026, 10:19","7 Mar 2026, 10:35","","Reverse Crunch",,"",1,"normal",,30,,,
"Abs","7 Mar 2026, 10:19","7 Mar 2026, 10:35","","Superman",,"",0,"normal",,10,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Lat Pulldown (Cable)",,"",0,"normal",39,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Lat Pulldown (Cable)",,"",1,"normal",66,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Pull Up (Assisted)",,"",0,"normal",9,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Pull Up (Assisted)",,"",1,"normal",,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Pull Up (Assisted)",,"",2,"normal",,7,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Butterfly (Pec Deck)",,"",0,"normal",66,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Butterfly (Pec Deck)",,"",1,"normal",100,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Butterfly (Pec Deck)",,"",2,"normal",107,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Chest Press (Machine)",,"",0,"normal",45,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Chest Press (Machine)",,"",1,"normal",73,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Chest Press (Machine)",,"",2,"normal",79,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Seated Row (Machine)",,"",0,"normal",23,8,,,
"Strength","7 Mar 2026, 09:44","7 Mar 2026, 10:10","","Seated Row (Machine)",,"",1,"normal",45,8,,,
